question,answer,correct_feedback,wrong_feedback,hint
0+0,0,答對了！太棒了,答錯了，再試一次,把兩個數字相加
0+1,1,答對了！太棒了,答錯了，再試一次,把兩個數字相加
0+2,2,答對了！太棒了,答錯了，再試一次,把兩個數字相加
0+3,3,答對了！太棒了,答錯了，再試一次,把兩個數字相加
0+4,4,答對了！太棒了,答錯了，再試一次,把兩個數字相加
0+5,5,答對了！太棒了,答錯了，再試一次,把兩個數字相加
0+6,6,答對了！太棒了,答錯了，再試一次,把兩個數字相加
0+7,7,答對了！太棒了,答錯了，再試一次,把兩個數字相加
0+8,8,答對了！太棒了,答錯了，再試一次,把兩個數字相加
0+9,9,答對了！太棒了,答錯了，再試一次,把兩個數字相加
1+0,1,答對了！太棒了,答錯了，再試一次,把兩個數字相加
1+1,2,答對了！太棒了,答錯了，再試一次,把兩個數字相加
1+2,3,答對了！太棒了,答錯了，再試一次,把兩個數字相加
1+3,4,答對了！太棒了,答錯了，再試一次,把兩個數字相加
1+4,5,答對了！太棒了,答錯了，再試一次,把兩個數字相加
1+5,6,答對了！太棒了,答錯了，再試一次,把兩個數字相加
1+6,7,答對了！太棒了,答錯了，再試一次,把兩個數字相加
1+7,8,答對了！太棒了,答錯了，再試一次,把兩個數字相加
1+8,9,答對了！太棒了,答錯了，再試一次,把兩個數字相加
1+9,10,答對了！太棒了,答錯了，再試一次,把兩個數字相加
2+0,2,答對了！太棒了,答錯了，再試一次,把兩個數字相加
2+1,3,答對了！太棒了,答錯了，再試一次,把兩個數字相加
2+2,4,答對了！太棒了,答錯了，再試一次,把兩個數字相加
2+3,5,答對了！太棒了,答錯了，再試一次,把兩個數字相加
2+4,6,答對了！太棒了,答錯了，再試一次,把兩個數字相加
2+5,7,答對了！太棒了,答錯了，再試一次,把兩個數字相加
2+6,8,答對了！太棒了,答錯了，再試一次,把兩個數字相加
2+7,9,答對了！太棒了,答錯了，再試一次,把兩個數字相加
2+8,10,答對了！太棒了,答錯了，再試一次,把兩個數字相加
2+9,11,答對了！太棒了,答錯了，再試一次,把兩個數字相加
3+0,3,答對了！太棒了,答錯了，再試一次,把兩個數字相加
3+1,4,答對了！太棒了,答錯了，再試一次,把兩個數字相加
3+2,5,答對了！太棒了,答錯了，再試一次,把兩個數字相加
3+3,6,答對了！太棒了,答錯了，再試一次,把兩個數字相加
3+4,7,答對了！太棒了,答錯了，再試一次,把兩個數字相加
3+5,8,答對了！太棒了,答錯了，再試一次,把兩個數字相加
3+6,9,答對了！太棒了,答錯了，再試一次,把兩個數字相加
3+7,10,答對了！太棒了,答錯了，再試一次,把兩個數字相加
3+8,11,答對了！太棒了,答錯了，再試一次,把兩個數字相加
